Chinese Category,English Category,Chinese Dish Name,English Dish Name,Pricing ($),Is Advanced Order?,Cost Per Gram
特别推荐,Specials,佛跳墙,Buddha Jump Over The Wall,Advance Order,,
特别推荐,Specials,布袋猪肚汤,Pig Stomach Soup,62 ( Single )|$80 ( Double ),,
特别推荐,Specials,烧猪,Sucking pig,$218,Advanced Order Item,
拼盘,Platter,龙虾拼盘,Lobster Platter,$168,,
拼盘,Platter,德光拼盘,Tekong Platter,$75,,
拼盘,Platter,三色拼盘,Fortune Platter,$45,,
鱼翅,Shark's Fin,砂煲鱼翅,Superior Shark‘s Fin ,$38/Pax,,
鱼翅,Shark's Fin,上汤一品锅,Superior Combinationpot,$38|$66|$88,,
鱼翅,Shark's Fin,蟹黄鱼翅,Shark’s Fin w Crab Roe,$35|$65|$85,,
鱼翅,Shark's Fin,桂花翅,Fried Shark's Fin w Scramble Egg,$22|$33|$44,,
鱼翅,Shark's Fin,蟹肉鱼飘羹,Fish Maw w Crab Meat Soup,$22|$44|$66,,
鲍鱼,Abalone,生捞鲍鱼,Abalone w Thai Sauce,$88,,
鲍鱼,Abalone,红烧鲍鱼,Braised Abalone,$98,,
海参,Sea-Cucumber,红烧海参,Braised Sea-Cucumber,$38|$68|$88,,
龙虾,Lobster,龙虾,Lobster,$19.80/ per 100g,,
龙虾,Lobster,刺身,Sashimi,$19.80/ per 100g,,
龙虾,Lobster,清蒸,Steamed,$19.80/ per 100g,,
龙虾,Lobster,上汤,Lobster with Superior Broth,$19.80/ per 100g,,
龙虾,Lobster,烧烤,BBQ,$19.80/ per 100g,,
龙虾,Lobster,辣椒,Chilli,$19.80/ per 100g,,
龙虾,Lobster,沙律,Salad,$19.80/ per 100g,,
龙虾,Lobster,牛油,Butter,$19.80/ per 100g,,
龙虾,Lobster,椒盐,Pepper & Salt,$19.80/ per 100g,,
龙虾,Lobster,咸蛋黄,Salted Egg Yolk,$19.80/ per 100g,,
虾,Prawn,虾,Prawn,$8.00 / per 100g,,
虾,Prawn,白灼,Poached,$8.00 / per 100g,,
虾,Prawn,辣椒,Chilli,$8.00 / per 100g,,
虾,Prawn,沙律,Salad,$8.00 / per 100g,,
虾,Prawn,糖醋,Sweet & Sour,$8.00 / per 100g,,
虾,Prawn,椒盐,Pepper & Salt,$8.00 / per 100g,,
虾,Prawn,牛油,Butter,$8.00 / per 100g,,
虾,Prawn,麦片,Cereal,$8.00 / per 100g,,
虾,Prawn,奶油,Creamy Butter,$8.00 / per 100g,,
虾,Prawn,印尼式,Indonesia,$8.00 / per 100g,,
虾,Prawn,甘香,Curry & Spice,$8.00 / per 100g,,
虾,Prawn,咸蛋黄,Salted Egg Yolk,$8.00 / per 100g,,
虾,Prawn,鼓油王,Spacial Light Sauce,$8.00 / per 100g,,
虾,Prawn,醉虾,Drunken Prawn,$9.00 / per 100g,,
虾球,Deshelled Prawn,牛油,Butter,$22|$33|$44,,
虾球,Deshelled Prawn,麦片,Cereal,$22|$33|$44,,
虾球,Deshelled Prawn,酥炸,Deep Fried,$22|$33|$44,,
虾球,Deshelled Prawn,沙律,Salad,$22|$33|$44,,
虾球,Deshelled Prawn,糖醋,Sweet & Sour,$22|$33|$44,,
虾球,Deshelled Prawn,宫保,Kung Pao,$22|$33|$44,,
虾球,Deshelled Prawn,咸蛋黄,Salted Egg Yolk,$23|$36|$48,,
螃蟹,Crab,清蒸,Steam,$9.80 /per 100g,,
螃蟹,Crab,辣椒,Chilli,$9.80 /per 100g,,
螃蟹,Crab,甘香,Curry & Spice,$9.80 /per 100g,,
螃蟹,Crab,牛油,Butter,$9.80 /per 100g,,
螃蟹,Crab,盐焗,Baked,$9.80 /per 100g,,
螃蟹,Crab,奶油,Creamy Butter,$9.80 /per 100g,,
螃蟹,Crab,咸蛋黄,Salted Egg Yolk,$9.80 /per 100g,,
螃蟹,Crab,黑椒,Black Pepper,$9.80 /per 100g,,
螃蟹,Crab,椒盐,Pepper & Salt,$9.80 /per 100g,,
螃蟹,Crab,海花蟹,Red Flower Crab,(Market price),,
螃蟹,Crab,海螳螂,Sea Mantis,(Market price),,
花蟹,Flower Crab,清蒸,Steam,$7.50/ per 100g,,
花蟹,Flower Crab,辣椒,Chilli,$7.50/ per 100g,,
花蟹,Flower Crab,牛油,Butter,$7.50/ per 100g,,
花蟹,Flower Crab,奶油,Creamy Butter,$7.50/ per 100g,,
花蟹,Flower Crab,黑椒,Black Pepper,$7.50/ per 100g,,
花蟹,Flower Crab,椒盐,Pepper & Salt,$7.50/ per 100g,,
花蟹,Flower Crab,甘香,Curry & Spice,$7.50/ per 100g,,
虾婆,Crayfish,清蒸,Steam,$6.50 / per 100g,,
虾婆,Crayfish,辣椒,Chilli,$6.50 / per 100g,,
虾婆,Crayfish,奶油,Creamy Butter,$6.50 / per 100g,,
虾婆,Crayfish,椒盐,Pepper & Salt,$6.50 / per 100g,,
虾婆,Crayfish,牛油,Butter,$6.50 / per 100g,,
虾婆,Crayfish,烧烤,BBQ,$6.50 / per 100g,,
虾婆,Crayfish,甘香,Curry & Spice,$6.50 / per 100g,,
虾婆,Crayfish,黑椒,Black Pepper,$6.50 / per 100g,,
本地鱼,Local Fish,本地斗昌,Local Promfret,$9.80/ 100g,,
本地鱼,Local Fish,金/红石班,Gold/Red Garoupa,$8.80 /100g,,
本地鱼,Local Fish,顺壳,Soon Hock,$8.00 / 100g,,
本地鱼,Local Fish,午鱼,Threadfin/Kurau,$7.80/100g,,
本地鱼,Local Fish,白昌,White Prompret,$7.20 / 100g,,
本地鱼,Local Fish,伙仔鱼,Leather Jacket,$6.80 /100g,,
本地鱼,Local Fish,白肚鱼,Rabbitfish/Peh Toh,$6.80 /100g,,
本地鱼,Local Fish,白午鱼,White Threadfin,$5.50/100g,,
本地鱼,Local Fish,石班,Garoupa,$6.80 /100g,,
本地鱼,Local Fish,黑昌,Black Promfret,$5.50 /100g,,
本地鱼,Local Fish,红曹,Golden Snapper,$5.80 /100g,,
本地鱼,Local Fish,照明,Trevally,$5.80 /100g,,
本地鱼,Local Fish,花点,Steaked Rabbit Fish,$4.80/100g,,
本地鱼,Local Fish,红鸡,Red Snapper,$5.80 /100g,,
本地鱼,Local Fish,鹦哥,Parrot Fish,$4.50/100g,,
本地鱼,Local Fish,乌鱼,Mullet,$4.50/100g,,
本地鱼,Local Fish,金目卢,Sea Bass,$4.80/100g,,
本地鱼,Local Fish,金昌,Golden Promfret,$4.50/100g,,
本地鱼,Local Fish,布冷,Golden Trevally,$4.50/100g,,
本地鱼,Local Fish,荷包昌,Spade Fish,$4.50/100g,,
本地鱼,Local Fish,比目鱼,Indian Halibut,$4.50/100g,,
本地鱼,Local Fish,尼罗红,Tilapia,$3.80/100g,,
本地鱼,Local Fish,本地奎笼鱼,Kelong Fish,$4.80/100g,,
带子,Scallop,时菜带子,Scallop with Seasonal Vegetables,$20|$30|$40,,
带子,Scallop,宫保带子,Kung Poh Scallop,$20|$30|$40,,
带子,Scallop,芙蓉带子,Scallop with Scrambled Egg,$20|$30|$40,,
生蚝,Oyster,滑蛋生蚝,Oyster with Scrambles Eggs,$18|$22|28,,
生蚝,Oyster,姜葱生蚝,Oyster with Spring Onion & Ginger,$18|$22|28,,
生蚝,Oyster,豉汁生蚝,Oyster with Soya Sauce,$18|$22|28,,
